date,open,high,low.close,volume,unadjClose,flag
19751224,88.73,89.84,88.73,89.46,1115,89.46,1.0
19751226,89.46,90.45,89.25,90.25,1002,90.25,1.0
19751229,90.25,91.09,89.63,90.13,1707,90.13,1.0
19751230,90.13,90.55,89.2,89.77,1604,89.77,1.0
19751231,89.77,90.75,89.17,90.19,1697,90.19,1.0
19760102,90.19,91.18,89.81,90.9,1030,90.9,1.0
19760105,90.9,92.84,90.85,92.58,2196,92.58,1.0
19760106,92.58,94.18,92.37,93.53,3127,93.53,1.0
19760107,93.53,95.15,92.91,93.95,3317,93.95,1.0
19760108,93.95,95.47,93.41,94.58,2903,94.58,1.0
19760109,94.58,95.71,94.05,94.95,2651,94.95,1.0
19760112,94.95,96.76,94.38,96.33,3044,96.33,1.0
19760113,96.33,97.39,95.11,95.57,3453,95.57,1.0
19760114,95.57,97.47,94.91,97.13,3034,97.13,1.0
19760115,97.13,98.34,96.15,96.61,3845,96.61,1.0
19760116,96.61,97.73,95.84,97.0,2594,97.0,1.0
19760119,97.0,98.84,96.36,98.32,2945,98.32,1.0
19760120,98.32,99.44,97.43,98.86,3669,98.86,1.0
19760121,98.86,99.24,97.12,98.24,3447,98.24,1.0
19760122,98.24,98.79,97.07,98.04,2742,98.04,1.0
19760123,98.04,99.88,97.68,99.21,3364,99.21,1.0
19760126,99.21,100.75,98.92,99.68,3447,99.68,1.0
19760127,99.68,100.52,98.28,99.07,3207,99.07,1.0
19760128,99.07,99.64,97.66,98.53,2737,98.53,1.0
19760129,98.53,100.54,98.32,100.11,2980,100.11,1.0
19760130,100.11,101.99,99.94,100.86,3851,100.86,1.0
19760202,100.86,101.39,99.74,100.87,2400,100.87,1.0
19760203,100.87,101.97,99.58,101.18,3408,101.18,1.0
19760204,101.18,102.57,100.7,101.91,3827,101.91,1.0
19760205,101.91,102.3,100.06,100.39,3378,100.39,1.0
19760206,100.39,100.53,98.64,99.46,2736,99.46,1.0
19760209,99.46,100.66,98.77,99.62,2534,99.62,1.0
19760210,99.62,100.96,99.11,100.47,2766,100.47,1.0
19760211,100.47,101.8,100.1,100.77,3230,100.77,1.0
19760212,100.77,101.55,99.82,100.25,2861,100.25,1.0
19760213,100.25,100.66,99.01,99.67,2387,99.67,1.0
19760217,99.67,100.25,98.56,99.05,2546,99.05,1.0
19760218,99.05,100.43,98.5,99.85,2990,99.85,1.0
19760219,99.94,101.92,99.94,101.41,3921,101.41,1.0
19760220,101.41,103.07,101.18,102.1,4451,102.1,1.0
19760223,102.1,102.54,100.69,101.61,3146,101.61,1.0
19760224,101.61,102.92,101.03,102.03,3438,102.03,1.0
19760225,102.03,102.71,100.69,101.69,3468,101.69,1.0
19760226,101.69,102.36,99.74,100.11,3432,100.11,1.0
19760227,100.11,100.53,98.6,99.71,2694,99.71,1.0
19760301,99.71,100.64,98.67,100.02,2207,100.02,1.0
19760302,100.02,101.26,99.61,100.58,2559,100.58,1.0
19760303,100.58,100.97,99.23,99.98,2545,99.98,1.0
19760304,99.98,100.4,98.49,98.92,2441,98.92,1.0
19760305,98.92,99.88,98.23,99.11,2303,99.11,1.0
19760308,99.11,100.71,98.93,100.19,2506,100.19,1.0
19760309,100.19,101.9,99.95,100.58,3177,100.58,1.0
19760310,100.58,101.8,99.98,100.94,2490,100.94,1.0
19760311,100.94,102.41,100.62,101.89,2730,101.89,1.0
19760312,101.89,102.46,100.49,100.86,2602,100.86,1.0
19760315,100.86,100.9,99.24,99.8,1957,99.8,1.0
19760316,99.8,101.25,99.38,100.92,2278,100.92,1.0
19760317,100.92,102.01,100.28,100.86,2619,100.86,1.0
19760318,100.86,101.37,99.73,100.45,2033,100.45,1.0
19760319,100.45,101.23,99.7,100.58,1809,100.58,1.0
19760322,100.58,101.53,100.14,100.71,1941,100.71,1.0
19760323,100.71,102.54,100.32,102.24,2245,102.24,1.0
